"DSI Labels",CorrByName/Location,,"RM labels","Callosal connection (1=yes)"
BSTS,TCS,,A1,0
CAC,CCA,,A2,0
CMF,FEF,,AMYG,1
CUN,VACd,,CCA,1
ENT,PHC,,CCP,1
FP,PFCpol,,CCR,1
FUS,TCv,,CCS,1
IP,PCi,,FEF,1
IT,TCi,,G,0
ISTC,CCR,,HC,0
LOCC,VACv,,IA,0
LOF,PFCoi,,IP,0
LING,VACv,,M1,1
MOF,PFCom,,PCI,0
MOF,PFCm,,PCIP,0
MT,TCm,,PCM,1
PARC,PMCm,,PCS,1
PARH,PHC,,PFCCL,1
POPE,PMCvl,,PFCDL,1
PORB,PFCol,,PFCDM,1
PTRI,PFCvl,,PFCM,1
PCAL,V1,,PFCPOL,1
PCAL,V2,,PFCVL,1
PSTC,S1,,PHC,0
PC,CCP,,PMCDL,1
PREC,M1,,PMCM,1
PCUN,PCm,,PMCVL,1
RAC,CCS,,S1,1
RMF,PFCcl,,S2,1
SF,PFCm,,TCC,0
SF,PFCdl,,TCI,0
SF,PMCm,,TCPOL,0
SF,PMCdl,,TCS,1
SP,PCs,,TCV,0
ST,TCs,,V1,1
SMAR,S2,,V2,1
TP,TCpol,,,
TT,A1,,,
